48.208.215.0;48.208.215.255;18.5204;73.8567
48.208.216.0;48.208.216.255;52.3676;4.90414
48.208.217.0;48.208.217.255;13.0827;80.2707
48.208.218.0;48.208.222.255;22.3193;114.169
48.208.223.0;48.208.255.255;51.5072;-0.127586
48.209.0.0;48.209.127.255;52.3676;4.90414
48.209.128.0;48.209.191.255;53.3498;-6.26031
48.209.192.0;48.209.255.255;52.3676;4.90414
48.210.0.0;48.210.1.255;35.6764;139.65
48.210.2.0;48.210.4.31;35.8616;139.645
48.210.4.32;48.210.98.159;35.6764;139.65
48.210.98.160;48.210.98.191;35.8616;139.645
48.210.98.192;48.210.255.255;35.6764;139.65
48.211.0.0;48.211.6.255;38.7134;-78.1591
48.211.7.0;48.211.9.255;39.0438;-77.4874
48.211.10.0;48.211.10.255;38.7134;-78.1591
48.211.11.0;48.211.14.255;39.0438;-77.4874
48.211.15.0;48.211.15.255;38.7134;-78.1591
48.211.16.0;48.211.16.255;39.0438;-77.4874
48.211.17.0;48.211.32.255;38.7134;-78.1591
48.211.33.0;48.211.37.63;39.0438;-77.4874
48.211.37.64;48.211.127.255;38.7134;-78.1591
48.211.128.0;48.211.255.255;36.6676;-78.3875
48.212.0.0;48.213.127.255;51.5072;-0.127586
48.213.128.0;48.213.128.255;52.3676;4.90414
48.213.129.0;48.213.255.255;51.5072;-0.127586
48.214.0.0;48.214.127.255;36.6676;-78.3875
48.214.128.0;48.214.255.255;41.5868;-93.625
48.215.0.0;48.215.127.255;-33.8688;151.209
48.215.128.0;48.215.255.255;-37.8136;144.963
48.216.0.0;48.216.127.255;29.4252;-98.4946
48.216.128.0;48.217.255.255;38.7134;-78.1591
48.218.0.0;48.218.247.255;35.6764;139.65
48.218.248.0;48.218.248.255;35.8616;139.645
48.218.249.0;48.218.255.255;35.6764;139.65
48.219.0.0;48.219.63.255;29.4252;-98.4946
48.219.64.0;48.219.64.255;34.0549;-118.243
48.219.65.0;48.219.127.255;51.5072;-0.127586
48.219.128.0;48.219.151.255;29.4252;-98.4946
48.219.152.0;48.219.159.255;51.5072;-0.127586
48.219.160.0;48.219.160.255;33.7488;-84.3877
48.219.161.0;48.219.161.255;40.7357;-74.1724
48.219.162.0;48.219.162.255;33.7488;-84.3877
48.219.163.0;48.219.163.255;40.7357;-74.1724
48.219.164.0;48.219.164.255;33.7488;-84.3877
48.219.165.0;48.219.166.255;34.0549;-118.243
48.219.167.0;48.219.167.255;40.7357;-74.1724
48.219.168.0;48.219.168.255;34.0549;-118.243
48.219.169.0;48.219.169.255;33.7488;-84.3877
48.219.170.0;48.219.170.255;34.0549;-118.243
48.219.171.0;48.219.171.255;40.7128;-74.006
48.219.172.0;48.219.172.255;39.0438;-77.4874
48.219.173.0;48.219.173.255;54.2766;-8.47609
48.219.174.0;48.219.174.255;34.0549;-118.243
48.219.175.0;48.219.175.255;33.7488;-84.3877
48.219.176.0;48.219.176.255;40.7128;-74.006
48.219.177.0;48.219.177.255;33.7488;-84.3877
48.219.178.0;48.219.178.255;34.0549;-118.243
48.219.179.0;48.219.179.255;40.7357;-74.1724
48.219.180.0;48.219.180.255;34.0549;-118.243
48.219.181.0;48.219.182.255;33.7488;-84.3877
48.219.183.0;48.219.184.255;40.7128;-74.006
48.219.185.0;48.219.186.255;54.2766;-8.47609
48.219.187.0;48.219.187.255;34.0549;-118.243
48.219.188.0;48.219.188.255;54.2766;-8.47609
48.219.189.0;48.219.189.255;33.7488;-84.3877
48.219.190.0;48.219.193.255;34.0549;-118.243
48.219.194.0;48.219.195.255;33.7488;-84.3877
48.219.196.0;48.219.198.255;34.0549;-118.243
48.219.199.0;48.219.199.255;40.7357;-74.1724
