ID;West Java;Bantarpanjang;-7.0061;108.766
BR;Piauí;Alegrete do Piauí;-7.24298;-40.8599
ID;Central Java;Lebaksiu;-7.0496;109.144
ID;Central Java;Baturaden;-7.3;109.217
BR;Amazonas;Envira;-7.4373;-70.0234
ID;East Java;Gresik;-7.16524;112.652
ID;Central Java;Boyolali;-7.5173;110.593
BR;Maranhão;Balsas;-7.53351;-46.0406
PE;Cajamarca Department;Cajamarca;-7.16378;-78.5003
ID;Central Java;Margasari;-7.09484;109.025
ID;East Java;Mojokerto;-7.53606;112.238
BR;Paraíba;João Pessoa (Cristo Redentor);-7.163;-34.879
PE;La Libertad;Santiago de Cao;-7.95889;-79.2392
PE;La Libertad;Casa Grande;-7.74389;-79.1864
PE;La Libertad;Paiján;-7.73291;-79.3015
BR;Paraíba;João Pessoa;-7.11883;-34.8814
ID;Yogyakarta;Yogyakarta;-7.78664;110.374
ID;Central Java;Surakarta;-7.56952;110.825
PE;La Libertad;Simbal;-7.97613;-78.8135
BR;Paraíba;Gramame;-7.19941;-34.879
PE;La Libertad;Chepén;-7.22436;-79.4248
PE;La Libertad;Cultambo;-7.33281;-79.4291
ID;Central Java;Boyolali;-7.45042;110.51
PE;Cajamarca Department;Cajamarca;-7.16062;-78.5006
ID;Central Java;Kartasura;-7.57861;110.76
ID;Central Java;Jatiroto;-7.88465;111.046
PE;La Libertad;Pacasmayo;-7.40056;-79.5714
BR;Paraíba;Bayeux;-7.125;-34.9322
BR;Pernambuco;Santa Cruz do Capibaribe;-7.9575;-36.2047
BR;Pernambuco;Paudalho;-7.89667;-35.1797
BR;Pernambuco;Paudalho;-7.8991;-35.1732
ID;Central Java;Salatiga;-7.36181;110.653
ID;West Java;Rancakukun;-7.3447;108.174
TZ;Iringa;Iringa;-7.76667;35.7
TZ;Morogoro;Ruaha;-7.65685;36.983
ID;Central Java;Purwokerto;-7.42428;109.24
ID;Central Java;Purbalingga;-7.41723;109.349
ID;Central Java;Kecamatan Kalimanah;-7.38947;109.363
ID;East Java;Gubengairlangga;-7.27295;112.743
ID;Central Java;Semarang;-7.02151;110.427
ID;East Java;Magetan;-7.65667;111.331
ID;Yogyakarta;Yogyakarta;-7.81091;110.349
ID;Yogyakarta;Bantul;-7.88806;110.329
ID;Yogyakarta;Gamping Lor;-7.81042;110.337
ID;Yogyakarta;Yogyakarta;-7.81093;110.349
BR;Pernambuco;Surubim;-7.83306;-35.7547
BR;Paraíba;Santa Cecília;-7.73944;-35.8794
BR;Pernambuco;Feira Nova;-7.95083;-35.3892
BR;Paraíba;Alagoa Grande;-7.04159;-35.627
BR;Pernambuco;Abreu e Lima (Desterro);-7.89199;-34.9071
BR;Pernambuco;Abreu e Lima;-7.91167;-34.9028
BR;Paraíba;Santa Rita;-7.11389;-34.9781
BR;Paraíba;Campina Grande;-7.22062;-35.8888
BR;Paraíba;Campina Grande;-7.23056;-35.8811
BR;Paraíba;Fagundes;-7.355;-35.775
BR;Pernambuco;Lagoa do Itaenga;-7.93611;-35.2903
BR;Pernambuco;Jataúba;-7.99;-36.4964
BR;Pará;Xinguara;-7.09829;-49.9435
BR;Piauí;Marcos Parente;-7.12105;-43.8908
ID;East Java;Jagirsidosermo;-7.29319;112.721
BR;Amazonas;Humaitá;-7.51651;-63.0311
BR;Amazonas;Humaitá;-7.51697;-63.0298
BR;Pernambuco;Calumbi;-7.94139;-38.15
BR;Pernambuco;Serra Talhada;-7.99194;-38.2983
BR;Maranhão;Carolina;-7.33561;-47.4622
BR;Maranhão;Santa Luzia;-7.64265;-47.2174
BR;Pará;Floresta do Araguaia;-7.55361;-49.7125
BR;Pará;Floresta do Araguaia;-7.56308;-49.7052
BR;Tocantins;Arapoema;-7.65778;-49.0639
BR;Pernambuco;Igarassu;-7.83417;-34.9064
BR;Pernambuco;Abreu e Lima (Centro);-7.90741;-34.9024
BR;Pernambuco;Paulista;-7.94083;-34.8731
BR;Piauí;Jacobina do Piauí;-7.93643;-41.2113
BR;Piauí;Curral Novo do Piauí;-7.83297;-40.9008
BR;Piauí;Simplício Mendes;-7.85389;-41.9103
BR;Pernambuco;Igarassu;-7.8427;-34.9074
ID;West Java;Paseh;-7.01367;107.748
BR;Pernambuco;Carnaíba;-7.80528;-37.7939
BR;Pernambuco;Quixabá;-7.72028;-37.8483
BR;Pernambuco;Afogados da Ingazeira;-7.75083;-37.6392
BR;Pernambuco;Iguaraci;-7.83528;-37.5153
BR;Paraíba;João Pessoa;-7.115;-34.8631
BR;Piauí;Uruçuí;-7.22944;-44.5561
BR;Paraíba;Alhandra;-7.43861;-34.9144
BR;Paraíba;Conde;-7.25972;-34.9075
BR;Piauí;Oeiras;-7.02528;-42.1311
BR;Piauí;Jaicós;-7.35917;-41.1378
BR;Piauí;Jaicós;-7.36132;-41.1403
BR;Pernambuco;Olinda;-7.99202;-34.8422
BR;Pernambuco;Ipubi;-7.65194;-40.1489
BR;Pernambuco;Trindade;-7.76194;-40.2678
BR;Piauí;Picos;-7.0776;-41.4674
BR;Pernambuco;Triunfo;-7.83806;-38.1017
BR;Piauí;Alagoinha do Piauí;-7.00956;-40.9379
BR;Piauí;Campo Grande do Piauí;-7.13366;-41.0376
BR;Pernambuco;Carpina;-7.85083;-35.2547
BR;Pernambuco;Limoeiro;-7.87472;-35.4503
BR;Pernambuco;Abreu e Lima;-7.90548;-34.9049
BR;Pará;Novo Progresso;-7.04124;-55.4196
BR;Pernambuco;São Vicente Férrer;-7.59108;-35.4864
BR;Paraíba;Massaranduba;-7.20028;-35.7892
BR;Paraíba;Boqueirão;-7.48179;-36.1322
BR;Paraíba;Caturité;-7.42028;-36.0272
BR;Ceará;Juazeiro do Norte;-7.21306;-39.3153
BR;Paraíba;Teixeira;-7.22278;-37.2542
BR;Paraíba;Maturéia;-7.26694;-37.3514
BR;Pernambuco;Taquaritinga do Norte;-7.89969;-36.0487
BR;Paraíba;João Pessoa (José Américo de Almeida);-7.16801;-34.8597
BR;Paraíba;Princesa Isabel;-7.73667;-37.9933
BR;Paraíba;Nova Olinda;-7.47972;-38.0422
BR;Paraíba;Aroeiras;-7.54528;-35.7075
BR;Paraíba;Puxinanã;-7.16111;-35.9606
BR;Pernambuco;Paulista;-7.91852;-34.821
BR;Maranhão;São Raimundo das Mangabeiras;-7.02194;-45.4811
BR;Maranhão;São Félix de Balsas;-7.08278;-44.8131
BR;Maranhão;Loreto;-7.08444;-45.1411
BR;Maranhão;Balsas;-7.5325;-46.0356
BR;Pernambuco;Macaparana;-7.55472;-35.4531
BR;Pará;Cumaru do Norte;-7.825;-50.7728
BR;Paraíba;Piancó;-7.19806;-37.9292
BR;Pernambuco;Distrito Industrial do Curado (Distrito Industrial);-7.26658;-35.8929
BR;Paraíba;Queimadas;-7.35833;-35.8983
BR;Piauí;Colônia do Piauí;-7.22889;-42.1785
BR;Paraíba;São José dos Cordeiros (Centro);-7.39056;-36.8063
BR;Paraíba;Parari;-7.32056;-36.6556
BR;Paraíba;São José dos Cordeiros;-7.39083;-36.8078
BR;Paraíba;São João do Cariri;-7.39083;-36.5328
BR;Piauí;Picos;-7.07694;-41.4669
BR;Acre;Cruzeiro do Sul;-7.62759;-72.6776
BR;Paraíba;Riachão do Poço;-7.15222;-35.2639
BR;Piauí;Aroeiras do Itaim;-7.27951;-41.5636
BR;Pernambuco;Moreilândia;-7.62744;-39.5513
BR;Pernambuco;Bodocó;-7.77833;-39.9411
BR;Pernambuco;Bodocó;-7.77883;-39.9386
BR;Ceará;Salitre;-7.28472;-40.4572
BR;Paraíba;São Sebastião de Lagoa de Roça;-7.10449;-35.8668
BR;Paraíba;São Sebastião de Lagoa de Roça;-7.10552;-35.8685
BR;Paraíba;Lagoa Seca;-7.17083;-35.8536
BR;Tocantins;Santa Fé do Araguaia;-7.15583;-48.7028
BR;Pernambuco;Tracunhaém;-7.80472;-35.24
BR;Pernambuco;Lagoa do Itaenga;-7.92748;-35.2953
BR;Paraíba;Esperança;-7.03306;-35.8572
BR;Piauí;Massapê do Piauí;-7.4623;-41.1264
BR;Piauí;Simões;-7.59889;-40.8178
BR;Ceará;Altaneira;-7.00167;-39.7406
BR;Pernambuco;Araçoiaba;-7.79028;-35.0908
BR;Ceará;Caririaçu;-7.04222;-39.2836
BR;Paraíba;Mulungu;-7.03027;-35.4635
BR;Paraíba;Mulungu;-7.02444;-35.4619
BR;Pernambuco;Trindade (Centro);-7.76225;-40.2665
BR;Paraíba;Caldas Brandão;-7.16926;-35.3433
BR;Paraíba;Sapé;-7.09639;-35.2328
BR;Paraíba;Gurinhém;-7.12382;-35.4257
BR;Pernambuco;Araripina;-7.57611;-40.4983
BR;Piauí;Uruçuí;-7.24087;-44.554
BR;Paraíba;João Pessoa (Bairro dos Ipês);-7.10272;-34.8528
BR;Paraíba;Boqueirão;-7.48214;-36.1348
BR;Pernambuco;Frei Miguelinho;-7.93972;-35.9122
BR;Paraíba;Serra Redonda;-7.17833;-35.675
BR;Pernambuco;Ouricuri;-7.8825;-40.0817
BR;Pernambuco;Cedro;-7.72167;-39.2389
BR;Ceará;Penaforte;-7.82895;-39.0754
BR;Maranhão;Balsas;-7.53348;-46.0407
